implem,algo,nb_states,obs_dim,seq_length,nb_seqs,bw_iter,sparse,custom_dist,samples,time_median,time_minimum,time_std,time_quantile25,time_quantile75,time_maximum,time_mean
dynamax,baum_welch,8,1,100,50,5,false,false,5,5.55372961e8,5.30873628e8,2.696824778343125e7,5.41874465e8,5.74246438e8,5.98835343e8,5.60240567e8
dynamax,forward,8,1,100,50,5,false,false,20,841908.0,667058.0,140665.28027980952,682256.0,958038.75,992104.0,826680.25
dynamax,viterbi,8,1,100,50,5,false,false,20,1.4858475e6,1.413911e6,132014.75862509504,1.44973275e6,1.56127075e6,1.907671e6,1.531387e6
dynamax,forward_backward,8,1,100,50,5,false,false,20,2.109884e6,1.743491e6,134713.7643411998,2.0641295e6,2.1278695e6,2.166556e6,2.05135035e6
dynamax,baum_welch,2,1,100,50,5,false,false,5,4.68308403e8,4.48667986e8,9.058320588222703e6,4.65697752e8,4.68381647e8,4.71323285e8,4.644758146e8
dynamax,forward,2,1,100,50,5,false,false,20,283395.5,268133.0,14774.377975952686,278040.0,285345.75,328352.0,285507.45
dynamax,viterbi,2,1,100,50,5,false,false,20,150743.5,145975.0,15132.111427010896,147711.25,159351.75,202508.0,157364.35
dynamax,forward_backward,2,1,100,50,5,false,false,20,518555.0,469043.0,55538.65262212956,483720.25,587306.75,621600.0,536118.85
dynamax,baum_welch,6,1,100,50,5,false,false,4,5.7089923e8,5.59364261e8,8.142230036274255e6,5.664230705e8,5.744339595e8,5.78668479e8,5.699578e8
dynamax,forward,6,1,100,50,5,false,false,20,661156.0,641503.0,88353.51625712114,647391.0,835947.75,848630.0,710748.05
dynamax,viterbi,6,1,100,50,5,false,false,20,800385.5,795571.0,22488.03353007995,797121.0,818049.5,882431.0,810429.05
dynamax,forward_backward,6,1,100,50,5,false,false,20,1.8382555e6,1.540022e6,109768.6197239208,1.82493125e6,1.8692085e6,1.994827e6,1.8240201e6
dynamax,baum_welch,4,1,100,50,5,false,false,5,5.15695466e8,4.70775862e8,3.200413832730334e7,5.10174039e8,5.22626463e8,5.60428709e8,5.159401078e8
dynamax,forward,4,1,100,50,5,false,false,20,389952.0,373611.0,30208.951510403247,379707.5,396536.5,506198.0,397118.1
dynamax,viterbi,4,1,100,50,5,false,false,20,650111.0,497032.0,65993.7827570861,558782.75,661220.5,680719.0,617500.8
dynamax,forward_backward,4,1,100,50,5,false,false,20,923654.0,763362.0,100581.40506370684,907356.5,934588.25,1.225786e6,936452.8
dynamax,baum_welch,10,1,100,50,5,false,false,4,6.574755055e8,6.41496077e8,8.470793623714134e7,6.41912618e8,7.09425497e8,8.1900335e8,6.938626095e8
dynamax,forward,10,1,100,50,5,false,false,20,1.247139e6,1.008284e6,147560.68007321956,1.0361915e6,1.30338125e6,1.388337e6,1.19069325e6
